                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5694,                 4.7495,                 1.9988,                 2.4955,                 8.3122,                 1.7173,                0.05688,                 0.0957,                0.04097,                0.01181,                 2.6121,                 7.0412,                 2.0082,                 2.5697,                 50.144,                 1.7884,             0.00025553,             0.00025553,             0.00025553
                      2,                  2.313,                 2.6128,                 1.7509,                 2.2673,                  3.404,                 1.5691,                0.04491,                0.02843,                0.01479,                0.00338,                 3.8282,                  23.21,                 4.4227,                 3.8022,                  166.7,                 2.9532,             0.00047048,             0.00047048,             0.00047048
                      3,                 2.3566,                 2.4587,                 1.8098,                 2.3946,                 2.8678,                 1.6543,                  2e-05,                0.00131,                  1e-05,                      0,                 4.1117,                 1460.8,                  13.21,                  3.497,                  83734,                 14.023,             0.00063263,             0.00063263,             0.00063263
                      4,                 2.3313,                 2.2397,                 1.8112,                 2.3784,                 2.7057,                 1.6358,                0.62209,                0.04248,                0.02575,                0.00715,                 3.5891,                 21.992,                 3.8864,                 3.1751,                 354.39,                 2.4442,             0.00074198,             0.00074198,             0.00074198
                      5,                 2.2343,                 2.0003,                  1.748,                  2.282,                 2.4216,                 1.5747,                0.13663,                0.18049,                0.08437,                0.02684,                 2.5831,                 15.895,                 2.2017,                 2.6557,                 7.9734,                 1.9678,             0.00067104,             0.00067104,             0.00067104
                      6,                 2.1123,                  1.805,                 1.6502,                 2.2444,                 2.1531,                 1.5507,                0.50937,                0.12386,                0.11465,                0.03648,                 2.5448,                 3.8693,                 1.9148,                 2.5674,                 5.8975,                 1.7763,             0.00067104,             0.00067104,             0.00067104
                      7,                  2.088,                 1.6237,                  1.629,                 2.1841,                 1.9683,                 1.5063,                0.32205,                0.27272,                0.19717,                0.07034,                 2.3827,                 4.2933,                 1.8234,                 2.4078,                 5.2233,                 1.6791,             0.00056105,             0.00056105,             0.00056105
                      8,                 1.9552,                 1.4559,                 1.5589,                 2.1093,                 1.6993,                 1.4654,                0.46271,                0.42852,                0.41358,                0.15167,                 2.1327,                 1.8751,                 1.6117,                  2.292,                 2.2022,                 1.5555,             0.00045107,             0.00045107,             0.00045107
                      9,                 1.8962,                  1.344,                  1.512,                 2.0559,                 1.5634,                 1.4229,                0.46547,                0.47885,                0.47795,                0.18711,                 2.0398,                 1.5399,                 1.5724,                 2.1544,                 1.7182,                 1.4892,             0.00034108,             0.00034108,             0.00034108
                     10,                 1.8164,                 1.2169,                  1.469,                 1.9982,                  1.407,                 1.4035,                0.62704,                0.56533,                0.57456,                0.24014,                 2.0146,                 1.3427,                 1.5562,                 2.1104,                 1.5734,                 1.4636,             0.00023109,             0.00023109,             0.00023109
